"scenario_id","G","nk","p","cov_type","design","eps","eta","method","false_rejection_rate","n_reps_total","mcse"
"S26",2,"30,20",30,"ar1","unbalanced",0.2,0.6,"Proposed",0.219,1000,0.0130781879478772
"S34",3,"30,20,20",30,"ar1","unbalanced",0.2,0.6,"Proposed",0.066,1000,0.00785136930732468
"S28",2,"30,20",50,"ar1","unbalanced",0.2,0.6,"Proposed",0.075,1000,0.00832916562447884
"S36",3,"30,20,20",50,"ar1","unbalanced",0.2,0.6,"Proposed",0.047,1000,0.00669260786241059
"S30",2,"50,30",50,"ar1","unbalanced",0.2,0.6,"Proposed",0.552,1000,0.0157256478403912
"S38",3,"50,30,20",50,"ar1","unbalanced",0.2,0.6,"Proposed",0.247,1000,0.0136378517369856
"S32",2,"50,30",100,"ar1","unbalanced",0.2,0.6,"Proposed",0.323,1000,0.0147875285291356
"S40",3,"50,30,20",100,"ar1","unbalanced",0.2,0.6,"Proposed",0.039,1000,0.00612200947402076
"S25",2,"30,20",30,"identity","unbalanced",0.2,0.6,"Proposed",0.052,1000,0.00702111102319284
"S33",3,"30,20,20",30,"identity","unbalanced",0.2,0.6,"Proposed",0.057,1000,0.00733150734842433
"S27",2,"30,20",50,"identity","unbalanced",0.2,0.6,"Proposed",0.06,1000,0.00750999334220743
"S35",3,"30,20,20",50,"identity","unbalanced",0.2,0.6,"Proposed",0.047,1000,0.00669260786241059
"S29",2,"50,30",50,"identity","unbalanced",0.2,0.6,"Proposed",0.056,1000,0.00727076337120113
"S37",3,"50,30,20",50,"identity","unbalanced",0.2,0.6,"Proposed",0.021,1000,0.00453420334788814
"S31",2,"50,30",100,"identity","unbalanced",0.2,0.6,"Proposed",0.067,1000,0.00790638982089803
"S39",3,"50,30,20",100,"identity","unbalanced",0.2,0.6,"Proposed",0.009,1000,0.00298646948753876
"S02",2,"20,20",30,"ar1","balanced",0.1,0.8,"Proposed",0.047,1000,0.00669260786241059
"S14",3,"20,20,20",30,"ar1","balanced",0.1,0.8,"Proposed",0.045,1000,0.00655553201502365
"S04",2,"20,20",50,"ar1","balanced",0.1,0.8,"Proposed",0.058,1000,0.00739161687318817
"S16",3,"20,20,20",50,"ar1","balanced",0.1,0.8,"Proposed",0.044,1000,0.00648567652600714
"S06",2,"30,30",50,"ar1","balanced",0.1,0.8,"Proposed",0.042,1000,0.00634318531969546
"S18",3,"30,30,30",50,"ar1","balanced",0.1,0.8,"Proposed",0.054,1000,0.00714730718522718
"S10",2,"50,50",50,"ar1","balanced",0.1,0.8,"Proposed",0.16,1000,0.0115931013969515
