"scenario_id","method","eps","p","cov_type","design","rejection_rate"
"S35","Schott",0.1,50,"identity","unbalanced",0.855
"S37","Schott",0.1,50,"identity","unbalanced",1
"S27","Cheng-GM",0.2,50,"identity","unbalanced",0.28
"S29","Cheng-GM",0.2,50,"identity","unbalanced",0.84
"S35","Cheng-GM",0.2,50,"identity","unbalanced",0.17
"S37","Cheng-GM",0.2,50,"identity","unbalanced",0.59
"S27","Proposed",0.2,50,"identity","unbalanced",0.06
"S29","Proposed",0.2,50,"identity","unbalanced",0.095
"S35","Proposed",0.2,50,"identity","unbalanced",0.025
"S37","Proposed",0.2,50,"identity","unbalanced",0.015
"S27","Schott",0.2,50,"identity","unbalanced",1
"S29","Schott",0.2,50,"identity","unbalanced",1
"S35","Schott",0.2,50,"identity","unbalanced",1
"S37","Schott",0.2,50,"identity","unbalanced",1
"S31","Cheng-GM",0.1,100,"identity","unbalanced",0.1
"S39","Cheng-GM",0.1,100,"identity","unbalanced",0.06
"S31","Proposed",0.1,100,"identity","unbalanced",0.015
"S39","Proposed",0.1,100,"identity","unbalanced",0.015
"S31","Schott",0.1,100,"identity","unbalanced",1
"S39","Schott",0.1,100,"identity","unbalanced",0.995
"S31","Cheng-GM",0.2,100,"identity","unbalanced",0.95
"S39","Cheng-GM",0.2,100,"identity","unbalanced",0.595
"S31","Proposed",0.2,100,"identity","unbalanced",0.105
"S39","Proposed",0.2,100,"identity","unbalanced",0.015
"S31","Schott",0.2,100,"identity","unbalanced",1
"S39","Schott",0.2,100,"identity","unbalanced",1
